workload,policy,avg_latency_ms,avg_latency_ms_std,p95_latency_ms,p95_latency_ms_std,sla_violation_rate,sla_violation_rate_std,cold_starts,cold_starts_std,total_cost,total_cost_std,cumulative_reward,cumulative_reward_std,cumulative_regret,cumulative_regret_std
steady_low,always_0,1033.4437500000001,0.22114757516193437,1038.7625,0.021650635094558456,18.925,0.29486343354923505,4302.0,70.76722405181653,0.0,0.0,-53792.0265,849.2597640398425,34346.14649999999,3472.51193678251
steady_low,always_1,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,48.00000000000001,0.0,-52.80000000000002,0.0,0.0,0.0
steady_low,always_2,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,96.00000000000001,0.0,-76.8,0.0,0.0,0.0
steady_low,threshold,145.41041666666666,4.361723531066398,120.0,0.0,0.575,0.05051814855409224,131.33333333333334,11.060440015358038,46.66666666666667,0.2309401076758495,-1687.5651666666674,142.0760690691642,1634.7651666666668,142.07606906916396
steady_low,linucb,123.803125,0.015625,120.0,0.0,0.075,0.020833333333333336,17.0,5.0,73.46666666666668,0.757187779440031,-278.4460833333334,60.05492254924521,225.64608333333385,60.054922549245994
steady_low,linear_thompson_sampling,123.815625,0.01653594569415208,120.0,0.0,0.09166666666666666,0.022047927592204926,21.0,5.291502622129181,72.86666666666669,1.9425069712444603,-326.14908333333335,63.49052842025607,273.3490833333338,63.490528420256894
steady_low,epsilon_greedy_linear,142.82916666666665,6.56746637473945,120.0,0.0,0.4638888888888889,0.11489226032018643,105.33333333333333,26.025628394590846,52.466666666666676,3.557152419187761,-1372.5123333333336,324.8486609397265,1319.712333333333,324.8486609397263
steady_medium,always_0,1055.928125,0.18251177188061748,1065.0249999999999,0.7313301238155488,48.90416666666667,0.24334902917414625,11497.0,58.40376700179535,0.0,0.0,-140137.42275,700.8890068467914,55407.462750000006,4715.103685480718
steady_medium,always_1,268.48192811926225,3.8540304361800946,1035.0249999999999,0.7313301238155488,9.168055555555554,0.22423997149218255,1996.0,48.815980989835694,48.00000000000001,0.0,-25675.10232941529,626.7134759252759,25622.302329415295,626.7134759252663
steady_medium,always_2,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,96.00000000000001,0.0,-76.8,0.0,0.0,0.0
steady_medium,threshold,185.22921377576398,11.472915744418424,1032.75,1.299038105676658,3.986111111111111,0.6910304972634336,872.0,152.58112596255148,76.20000000000002,2.946183972531244,-11223.888344639518,1938.398477728073,11171.08834463955,1938.3984777280743
steady_medium,linucb,125.77151669925813,0.5829753195224108,120.0,0.0,0.30972222222222223,0.041736053336990875,70.66666666666667,10.066445913694333,109.86666666666669,0.757187779440036,-962.4518306744889,120.79975249910284,885.6518306744903,120.79975249910294
steady_medium,linear_thompson_sampling,124.90729480894922,0.2509464143251092,120.0,0.0,0.23888888888888887,0.010485881160098269,55.0,3.0,112.73333333333336,1.616580753730947,-765.0110840874813,32.82812234119726,696.2110840874834,22.683478871937936
steady_medium,epsilon_greedy_linear,172.34122087688615,15.215485182308425,1036.0874999999999,12.728640196423271,2.8708333333333336,0.8436754082254884,668.3333333333334,195.9192010328067,92.80000000000001,1.5999999999999943,-8273.095226343788,2406.4056415375812,8220.295226343815,2406.4056415376012
bursty,always_0,1041.7916666666667,1.9270239292645461,1098.3249999999998,13.246385120099733,30.055555555555554,2.5693652390194504,6973.333333333333,616.6476573646682,0.0,0.0,-85850.03,7400.234374119042,59683.73,6963.0657017845415
bursty,always_1,182.89743700184488,15.29084171572935,1068.3249999999998,13.246385120099733,6.909722222222222,2.0127817838154387,1631.6666666666667,478.2011431744317,48.00000000000001,0.0,-19861.228718213773,5781.013378730171,19808.428718213778,5781.013378730176
bursty,always_2,141.89606614919686,8.928750478797264,1038.3249999999998,13.246385120099667,2.7333333333333334,1.1130850521560935,635.0,262.06296953213365,96.00000000000001,0.0,-7870.055055875808,3187.491308970797,7793.255055875807,3187.4913089707966
bursty,threshold,180.6170310368625,13.151146817834473,1064.5249999999999,11.672102156424044,6.261111111111111,1.6578639062002292,1475.6666666666667,393.33107343983556,55.33333333333334,2.023198787399136,-17995.014754115517,4760.553636394302,17942.21475411551,4760.553636394296
bursty,linucb,132.9679534496623,4.839777561954366,120.0,0.0,1.1819444444444445,0.6071382858526945,278.0,143.88537104236832,166.33333333333334,20.19537900940049,-3496.4123088279184,1736.581405645031,3443.6123088279255,1736.5814056450492
bursty,linear_thompson_sampling,132.5247603037803,3.390022875195231,120.0,0.0,1.0041666666666667,0.3584060003837982,234.66666666666666,84.50049309520823,160.13333333333335,5.7143095237599235,-2978.5392758062408,1024.7136506430502,2925.73927580626,1024.7136506430509
bursty,epsilon_greedy_linear,184.75240746699316,13.453234795574186,1038.1125,6.489450573815874,3.477777777777778,1.6750276393518384,813.6666666666666,398.0067001111078,140.4,7.277362159464106,-10046.540577792079,4811.162488121591,9993.740577792072,4811.162488121556
periodic_spikes,always_0,1057.3218749999999,0.2348328860594534,1100.0375,1.9100474470546154,50.7625,0.3131105147459021,11943.0,75.14652353901675,0.0,0.0,-145489.75725,901.8146423608713,77080.81725000004,901.8146423608213
periodic_spikes,always_1,292.3060249427454,2.2906048290944487,1070.0375,1.9100474470546154,14.006944444444445,0.2781802639643206,3219.0,66.3023378170031,48.00000000000001,0.0,-39863.48677931959,799.7859136048381,39810.68677931961,799.7859136048298
periodic_spikes,always_2,142.64435635305605,1.3822969317977376,1040.0375,1.9100474470546154,2.8791666666666664,0.2202035043620635,672.3333333333334,52.38638499966698,96.00000000000001,0.0,-8299.567978858067,632.661695316513,8222.767978858066,632.661695316513
periodic_spikes,threshold,153.5426954245119,1.0953915119708777,1031.8249999999998,2.230015414744903,3.1374999999999997,0.14331152934933203,713.6666666666666,33.605555096342826,76.73333333333335,0.30550504633039366,-8953.883580235217,409.6306183863666,8901.08358023524,409.6306183863656
periodic_spikes,linucb,131.5273512008426,1.3750712130938434,120.0,0.0,1.3180555555555555,0.3055429290320454,311.6666666666667,73.05021104235999,183.60000000000002,7.277362159464106,-3900.6998976215345,880.9556432096066,3823.8998976214953,880.9556432096051
periodic_spikes,linear_thompson_sampling,128.14144048568392,1.268719554552972,120.0,0.0,0.9708333333333333,0.27070509784634644,229.66666666666666,64.67096205665517,189.80000000000004,0.6928203230275444,-2908.3206123832297,778.5432330170673,2799.5206123832168,793.2383607778463
periodic_spikes,epsilon_greedy_linear,169.3447158040352,27.387917396052373,738.0124999999999,535.2145251847618,3.8958333333333335,2.047648549759781,913.3333333333334,480.55419396081993,159.33333333333337,14.819356711184655,-11253.642731792968,5852.698136353522,11200.84273179295,5852.698136353473
abrupt_shift,always_0,1055.546875,0.423538387427811,1085.775,1.5315433392496425,48.395833333333336,0.5647178499038279,11375.0,135.5322839769182,0.0,0.0,-138673.33125,1626.489056935983,121147.57125000001,4690.574157598649
abrupt_shift,always_1,350.1666069735372,3.782549124243664,1055.775,1.5315433392496425,19.225,0.5764926278800105,4486.0,139.90353819685905,48.00000000000001,0.0,-54964.039985673655,1667.1899011763246,54911.23998567367,1667.1899011763371
abrupt_shift,always_2,135.64596615587584,3.0656156766080365,1025.775,1.5315433392496425,1.8958333333333333,0.3891764809611873,424.3333333333333,92.52206943931449,96.00000000000001,0.0,-5417.888365210743,1118.018001541065,5341.088365210743,1118.018001541065
abrupt_shift,threshold,226.28519559386075,11.790658028600443,1041.5625,0.45620718977238145,4.631944444444445,0.22408507395712562,1055.6666666666667,50.34216258101487,69.00000000000001,1.385640646055101,-13204.808446942528,632.5791212615312,13152.008446942553,632.5791212615263
abrupt_shift,linucb,130.41684216288624,3.407123918777897,420.25,520.0482549725554,0.6486111111111111,0.2853583679308321,147.0,65.10760324263211,148.66666666666669,13.914500829470429,-1938.966708785759,804.9863155382675,1886.1667087857682,804.9863155382805
abrupt_shift,linear_thompson_sampling,127.93264675312432,2.376313638448898,120.0,0.0,0.5249999999999999,0.20185769189648872,120.66666666666667,48.01388688008224,154.00000000000003,13.165105392665877,-1598.3705018874166,575.0727375721967,1545.5705018874103,575.0727375721975
abrupt_shift,epsilon_greedy_linear,179.72599473217915,8.976494407389868,1037.85,9.32740418069248,3.8763888888888887,1.5044917315726165,908.3333333333334,356.6683800581898,140.93333333333334,10.373684655576024,-11189.600905402389,4313.25470237976,11136.800905402375,4313.254702379751
